
Terminal 7,27.604,23.301,33.38,-118.45
Terminal 7,5.539,14.789,34.28,-118.88
Terminal 7,6.219,14.291,34.19,-118.81
Terminal 2,27.604,23.301,33.38,-118.45
Terminal 7,28.725,36.500,34.15,-119.19
Terminal 2,27.604,23.301,33.38,-118.45
Terminal 1,14.804,22.640,34.17,-118.95
Terminal 5,14.804,22.640,34.17,-118.95
Terminal 5,1.149,1.524,33.75,-118.3
Terminal 5,25.617,33.966,34.19,-119.17
Terminal 2,12.195,20.036,34.18,-118.91
Terminal 6,10.052,17.833,34.18,-118.87
Terminal 6,24.954,32.016,34.12,-119.09
Terminal 1,1.536,12.538,34.39,-118.91
Terminal 4,20.988,30.570,34.27,-119.16
Terminal 2,20.988,30.570,34.27,-119.16
Terminal 2,2.648,2.840,33.73,-118.31
Terminal 2,5.539,14.789,34.28,-118.88
Terminal 7,22.013,31.280,34.25,-119.16
Terminal 4,1.659,2.113,33.75,-118.31
Terminal 4,2.803,9.373,34.11,-118.67
Terminal 2,0.540,2.552,33.86,-118.39
Terminal 5,23.609,33.585,34.28,-119.22
Terminal 5,28.796,37.294,34.19,-119.23
Terminal 4,13.087,20.434,34.14,-118.89
Terminal 2,14.804,22.640,34.17,-118.95
Terminal 1,27.344,37.214,34.27,-119.28
Terminal 4,9.425,21.123,34.4,-119.07
Terminal 1,28.741,36.700,34.16,-119.2
