
Terminal 1,28.741,36.700,34.16,-119.2
Terminal 4,2.803,9.373,34.11,-118.67
Terminal 3,5.607,12.688,34.14,-118.75
Terminal 1,11.825,17.267,34.04,-118.77
Terminal 1,1.623,1.667,33.73,-118.29
Terminal 5,21.620,33.810,34.4,-119.3
Terminal 7,25.123,33.809,34.21,-119.18
Terminal 1,9.425,21.123,34.4,-119.07
Terminal 1,1.536,12.538,34.39,-118.91
Terminal 1,1.373,2.489,33.8,-118.35
Terminal 1,0.540,2.552,33.86,-118.39
Terminal 5,25.106,33.609,34.2,-119.17
Terminal 7,11.825,17.267,34.04,-118.77
Terminal 7,28.796,37.294,34.19,-119.23
Terminal 1,1.149,1.524,33.75,-118.3
Terminal 4,27.604,23.301,33.38,-118.45
Terminal 7,28.741,36.700,34.16,-119.2
Terminal 2,0.540,2.552,33.86,-118.39
Terminal 3,6.219,14.291,34.19,-118.81
Terminal 5,1.204,10.219,34.27,-118.79
Terminal 5,27.344,37.214,34.27,-119.28
Terminal 1,26.642,34.677,34.17,-119.17
Terminal 2,11.825,17.267,34.04,-118.77
Terminal 4,25.617,33.966,34.19,-119.17
Terminal 3,12.729,19.011,34.06,-118.81
Terminal 7,14.804,22.640,34.17,-118.95
Terminal 2,2.226,3.123,33.77,-118.34
Terminal 2,1.204,10.219,34.27,-118.79
Terminal 2,16.887,29.664,34.44,-119.25
